id_symptoms,name_symptoms
16560025,злокачественные новообразования
33390025,новообразования
30210025,микоз
197500025,инфекционные заболевания
31290025,протозойные болезни
31770025,гельминтозы
24100025,инфекционные и паразитарные заболевания
78840025,воспалительные болезни женских тазовых органов
311380025,болезни женской половой системы
94200025,врожденные аномалии [пороки развития] и деформации костно-мышечной системы
89790025,"врожденные аномалии (пороки развития), деформации и хромосомные нарушения"
396320025,аутоиммунные заболевания
34830025,"отдельные нарушения, вовлекающие иммунный механизм"
400430025,малые аномалии развития сердца
308550025,патология сердца
403260025,воспаление верхних дыхательных путей
16090025,воспаление
403340025,внелегочный криптококкоз
30990025,криптококкоз
414990025,инфекционные осложнения
179140025,осложнения
419940025,болезни мочеполовой системы
308710025,патология мочеполовой системы
421760025,травматические поражения органов пищеварения
65040025,другие болезни органов пищеварения
422180025,хронические заболевания легких
59050025,хронические болезни нижних дыхательных путей
422390025,грипп A/H7N9
401890025,грипп А
436470025,наследственные заболевания
100025,заболевания
436480025,распространенные заболевания
324470025,болезни нераспределенные
436510025,болезни эндокринной системы и нарушения обмена веществ
436940025,нейрофиброматоз тип 2
162650025,нейрофиброматоз
436970025,гепатоцеллюлярная карцинома
128450025,карцинома печени
446680025,репродуктивная эндокринология
35380025,болезни эндокринной системы
446690025,"болезни мошонки, яичка, придатка яичка и семенного канатика"
78100025,болезни мужских половых органов
447210025,болезни носа
58480025,болезни верхних дыхательных путей
447220025,болезни глаза
48340025,болезни глаза и его придаточного аппарата
447550025,нарушение длительности менструального цикла
306600025,дисменорея
447580025,нарушение регулярности менструального цикла
459780025,клебсиеллез 
24110025,кишечные инфекции
459830025,хронические болезни верхних дыхательных путей
385120025,хронические заболевания дыхательной системы
463040025,болезни подкожно-жировой клетчатки
65320025,болезни кожи и подкожной клетчатки
464970025,болезни волос
67610025,болезни придатков кожи
464980025,болезни сальных желез
464990025,болезни потовых желез
465220025,существовавшая ранее гипертензия
81920025,гипертензия у матери
467640025,аномалии развития наружного уха
90810025,аномалии развития уха
471460025,предсердные нарушения ритма сердца
1720025,нарушения ритма сердца
471480025,сердечная блокада
19970025,нарушения проводимости сердца
481640025,инфекции нетуберкулезной этиологии
33370025,другие инфекционные болезни
485790025,эмболия легочной артерии нетромбогенного генеза
53990025,легочная эмболия
487880025,другие дерматофитии
487680025,клиническая классификация дерматофитий
494820025,кишечные трематодозы
31850025,трематодозы
494880025,печеночные трематодозы
494890025,легочные трематодозы
494900025,кровяные трематодозы
506700025,поражение ЖКТ
506720025,поражении кожных покровов
68500025,другие поражения кожи и подкожной клетчатки
511700025,"урогенитальные заболевания, вызванные Mycoplasma genitalium"
27290025,"другие болезни, передающиеся преимущественно половым путем, не классифицированные в других рубриках"
511790025,"урогенитальные заболевания, вызванные Ureaplasma spp., M. hominis"
13230025,боль в горле и в груди
13090025,"симптомы и признаки, относящиеся к системам кровообращения и дыхания"
17900025,патология эритроцитов
467020025,патология эритроцитарного ростка
19440025,патологии периода беременности и после родовый период
19390025,патология органов и систем
384630025,бактериальные инфекционные заболевания
24150025,тиф и паратиф
446350025,сальмонеллез
24200025,другие сальмонеллезные инфекции
24330025,другие бактериальные кишечные инфекции
24440025,другие бактериальные пищевые отравления
24630025,другие протозойные кишечные болезни
24700025,вирусные кишечные инфекции
384480025,вирусные инфекционные заболевания
25050025,туберкулез других органов
403290025,внелегочный туберкулез
25210025,бактериальные зоонозы
25520025,сап и мелиоидоз
25540025,острый или молниеносный мелиоидоз
354230025,мелиоидоз
25580025,лихорадка от укуса крыс
25710025,другие бактериальные зоонозы
25870025,"инфекции, вызванные другими микобактериями"
25770025,другие бактериальные болезни
25940025,листериозный менингит и менингоэнцефалит
44450025,"менингит при бактериальных болезнях, классифицированных в других рубриках"
26710025,"инфекции, передающиеся преимущественно половым путем"
27120025,"хламидийные болезни, передающиеся половым путем"
27710025,хламидийная инфекция
27330025,"болезни, вызываемые спирохетами"
27520025,возвратные лихорадки
27720025,риккетсиозы
27920025,вирусные инфекции центральной нервной системы
387280025,инфекционное заболевание ЦНС
28000025,медленные вирусные инфекции центральной нервной системы
28250025,"другие вирусные энцефалиты, не классифицированные в других рубриках"
28370025,"другие вирусные инфекции центральной нервной системы, не классифицированные в других рубриках"
28420025,"вирусные лихорадки, передаваемые членистоногими, и вирусные геморрагические лихорадки"
28450025,комариные вирусные лихорадки
28530025,"другие вирусные лихорадки, передаваемые членистоногими"
28690025,другие вирусные геморрагические лихорадки
28780025,"вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек"
28790025,"инфекции, вызванные вирусом простого герпеса"
29180025,"другие вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек"
29270025,вирусный гепатит
29360025,острые вирусные гепатиты
29410025,хронические вирусные гепатиты
29810025,другие вирусные болезни
30220025,дерматофития
30320025,другие поверхностные микозы
30420025,кандидоз кожи и ногтей
347260025,кандидоз поверхностный
30860025,хромомикоз и феомикотический абсцесс
31260025,оппортунистические микозы
31990025,"инвазия, вызванная Echinococcus granulosus"
31940025,эхинококкоз
32020025,"инвазия, вызванная Echinococcus multilocularis"
32140025,дифиллоботриоз и спарганоз
501740025,цестодозы
32490025,другие кишечные гельминтозы
32590025,другие гельминтозы
32670025,"педикулез, акариаз и другие инфестации"
32680025,педикулез и фтириоз
33400025,"болезни крови, кроветворных органов и отдельные нарушения, вовлекающие иммунный механизм"
178910025,патологии крови и кроветворной системы
33410025,"анемии, связанные с питанием"
303780025,анемия
33650025,анемии вследствие ферментных нарушений
34030025,апластические и другие анемии
34090025,другие апластические анемии
34280025,"нарушения свертываемости крови, пурпура и другие геморрагические состояния"
395430025,заболевания крови
34500025,другие болезни крови и кроветворных органов
17730025,патологии иммуной системы
34840025,иммунодефициты с преимущественной недостаточностью антител
34950025,комбинированные иммунодефициты
35060025,"иммунодефициты, связанные с другими значительными дефектами"
35200025,другие иммунодефициты
35320025,"другие нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках"
19420025,патология эндокринной системы
35390025,болезни щитовидной железы
35450025,"болезни щитовидной железы, связанные с йодной недостаточностью, и сходные состояния"
35490025,"другие болезни щитовидной железы, связанные с йодной недостаточностью, и сходные состояния"
35510025,другие формы гипотиреоза
35600025,другие формы нетоксического зоба
35640025,другие уточненные формы нетоксического зоба
36060025,инсулиннезависимый сахарный диабет с нарушениями периферического кровообращения
36000025,инсулиннезависимый сахарный диабет
36220025,другие уточненные формы сахарного диабета
35880025,сахарный диабет
36440025,другие нарушения регуляции глюкозы и внутренней секреции поджелудочной железы
36460025,нарушения внутренней секреции поджелудочной железы
36530025,нарушения других эндокринных желез
36770025,другие болезни гипофиза
36780025,болезни гипофиза и гипоталамуса
446670025,нейроэндокринные заболевания
36850025,"другие состояния, характеризующиеся кушингоидным синдромом"
36790025,болезнь Иценко-Кушинга
37040025,болезни надпочечников
37170025,"нарушения полового созревания, не классифицированные в других рубриках"
37250025,другая полигландулярная дисфункция
37220025,полигландулярная дисфункция
37260025,полигландулярная дисфункция неуточненная
37270025,болезни вилочковой железы
37450025,мальнутриция
197620025,расстройства питания
37550025,другие виды недостаточности питания
