id_symptoms,name_symptoms
511880025,кардиомиопатия инфантильная
54740025,кардиомиопатия
19050025,болезнь Ниманна-Пика
19040025,нарушение липидного обмена
365840025,аллергический ринит 
58490025,вазомоторный и аллергический ринит
516130025,волчанка обыкновенная веррукозная
337350025,волчанка обыкновенная
517450025,Гайема-Видаля болезнь
19740025,анемии гемолитические
518600025,арафия
90180025,другие врожденные аномалии [пороки развития] спинного мозга
519380025,ахейрия
94970025,Другие врожденные аномалии [пороки развития] конечности(ей)
519500025,геогельминтозы
31770025,гельминтозы
520040025,аноплоцефалидозы
501740025,цестодозы
520080025,гипофосфатазия
436470025,наследственные заболевания
520860025,Даймонда-Блекфена анемия
303780025,анемия
521180025,криптофтальм
90310025,"врожденные аномалии [пороки развития] века, слезного аппарата и глазницы"
523910025,ангиопаги
95550025,другие врожденные аномалии [пороки развития]
524290025,беджель
27560025,"другие инфекции, вызванные спирохетами"
524330025,эпистома
158600025,промежуточные новообразования
524380025,Гланцманна-Негели болезнь
524770025,гиперсаркозинемия
524790025,Денди-Уокера болезнь
89810025,анэнцефалия и подобные пороки развития
524800025,дицефалия
89790025,"врожденные аномалии (пороки развития), деформации и хромосомные нарушения"
524850025,Яриша-Киари форма туберкулеза
369750025,туберкулез кожи
524870025,язва чиклеров
352360025,лейшманиоз кожный нового света
525040025,эпигнатия
90300025,"врожденные аномалии [пороки развития] глаза, уха, лица и шеи"
525070025,экзэнцефалия
525080025,Эклина болезнь
525540025,Цюльцера-Огдена болезнь
329040025,анемия гипохромная
525560025,цирроз-рак
128450025,карцинома печени
525570025,цимбоцефалия
94420025,"Врожденные костно-мышечные деформации головы, лица, позвоночника и грудной клетки"
525590025,циклопия
90690025,другие врожденные аномалии [пороки развития] глаза
525610025,хондроматоз костей
470320025,болезни костей
525660025,хондродисплазия
95240025,Остеохондродисплазия с дефектами роста трубчатых костей и позвоночника
525690025,Хартнупа болезнь
525700025,Хатсусимы-Хакамори болезнь
526550025,гемимелия
526910025,Фрейберга болезнь
75300025,остеохондропатия
527010025,болезнь Ферраро-Ван-Богарта-Ниссена
44360025,болезни нервной системы
527350025,фокомелия
527360025,Фокса-Фордайса болезнь
334350025,дерматоз
527700025,удвоение пищеварительного тракта
527710025,трохоцефалия
94470025,"Другие врожденные деформации черепа, лица и челюсти"
527740025,Торнвальдта болезнь
58780025,болезни миндалин и аденоидов
527760025,Шнейдера симптомы первого ранга
44740025,"системные атрофии, поражающие преимущественно центральную нервную систему"
527770025,Шоба болезнь
528020025,Штодтмейстера аномалия лейкоцитов
528030025,торакогастросхизис
94520025,Другие врожденные костно-мышечные деформации
528040025,уретратрезия
454630025,врожденные аномалии [пороки развития] мочевого пузыря и уретры
528080025,уретраплазия
528090025,трицефалия
528210025,заворот средней кишки
63200025,болезни кишечника
529560025,трахеомегалия
92570025,врожденные аномалии [пороки развития] пищевода
530650025,цитруллинурия
530750025,тиреоаплазия
531420025,транспозиция органов
531720025,скрофулотуберкулез
369880025,туберкулез первичный
533170025,хондроостеодистрофия
75430025,другие нарушения костно-мышечной системы и соединительной ткани
533230025,тиф сыпной повторный
27730025,сыпной тиф
533460025,Шпренгеля болезнь
533470025,Шольца-Бильшовского болезнь
533540025,цефалоторакопаг
533680025,хейромегалия
94200025,врожденные аномалии [пороки развития] и деформации костно-мышечной системы
534120025,эктопия мочеточника
93920025,врожденные нарушения проходимости почечной лоханки и врожденные аномалии мочеточника
534130025,эктродактилия
534140025,эктромелия
95000025,"Другие врожденные аномалии нижней(их) конечности(ей), включая тазовый пояс"
534150025,эктопия яичка
80760025,другие нарушения мочеполовой системы
534160025,эктопия хрусталика
534320025,Шморля грыжа
342740025,грыжа межпозвонкового диска
404860025,насморк
404850025,ринорея
6170025,отделяемое
143870025,зуд носа
137250025,кровотечение из носа
191080025,першение в горле
1430025,кашель
140960025,головная боль
123610025,оталгия и выделения из уха
137400025,снижение слуха
410110025,гипосмия
428380025,повышение концентрации молекулы межклеточной адгезии-1 в крови
366000025,риносинусит
5120025,чихание
400580025,заложенность носа
438340025,назальная гиперреактивность
4140025,аносмия
424870025,повышение проницаемости сосудистой стенки
386530025,отек слизистой
438330025,раздражение нервных окончаний слизистой оболочки полости носа
438560025,гипертрофией задних концов нижних носовых раковин
270025,повышение температуры тела
1390025,слабость общая
410410025,затруднение носового дыхания
140340025,выделения из носа
13990025,недомогание
380430025,преходящее нарушение мозгового кровообращения
55590025,геморрагический инсульт
45800025,мигрень
4930025,говор через нос
458020025,гипогевзия
4260025,нарушение речи
51980025,евстахиит
425540025,повышение концентрации креатинкиназы в крови
427140025,повышение концентрации лактатдегидрогеназы в крови
12610025,кома
307940025,выраженная потливость
426440025,эритропсия
14140025,гипотермия
416150025,нарушение бодрствования
1230077,группировка признаков с условием - ИЛИ
12590025,оглушение
12600025,сопор
4340025,нарушение функции дыхания
143190025,тахипноэ
4350025,затруднение дыхания при вдохе
4440025,затруднение дыхания при выдохе
18090025,артериальная гипертензия
2050025,рвота
426450025,пульс напряженный
1220077,группировка признаков
316850025,возбуждение психомоторное
400770025,острое начало болезни
421240025,внезапное начало
4270025,афазия
423820025,гемиплегия контралатеральная
426610025,контралатеральная гемигипестезия
426620025,контралатеральная гомонимная гемианопсия
180770025,сенсорная афазия
148690025,расстройства схемы тела
188220025,анозогнозия
188230025,аутотопагнозия
193210025,гемианопсия
193700025,гемианестезия
424390025,парез спастический языка
424380025,парез спастический лица
416230025,ригидность децеребрационная
426580025,горметония
47800025,расстройства вегетативной нервной системы
177320025,нарушение функции сердца
12580025,нарушение сознания
424140025,контралатеральный парез лица
424150025,контралатеральный парез языка
180780025,моторная афазия
426460025,мидриаз на стороне патологического очага
424130025,контрлатеральный парез руки
9880025,симптом паруса
426470025,отсутствие реакции зрачка на свет на стороне патологического очага
414660025,асимметрия лица
47620025,спастическая гемиплегия
193960025,поза Вернике-Манна
140890025,гиперемия кожи лица
5690025,брадикардия
142750025,тахикардия
18400025,дыхание Чейна-Стокса
317060025,дыхание аритмичное
13430025,гиперестезия
322480025,ригидность мышц затылка
333440025,симптом Бехтерева скуловой
179500025,анизокория
418510025,припадок эпилептический тонико-клонический
22480025,синдром менингиальный
10080025,симптом Брудзинского 
10390025,симптом Кернига
46260025,поражения лицевого нерва
426730025,поражение отводящего нерва
416180025,тетрапарез
416190025,гемипарез
4500025,дисфагия
13970025,дисфония
180740025,гемиатаксия
21920025,синдром Бенедикта
424330025,тетраплегия
426750025,гомолатеральный паралич глазодвигательного нерва
22070025,синдром Вебера
303760025,нистагм
354990025,миоз
179970025,атаксия
312370025,головокружение несистемное
426690025,снижение тонуса мышц
50950025,расходящееся содружественное косоглазие
379530025,черепномозговая гипертензия
194060025,речь скандированная
13910025,дизартрия
416220025,отсутствие реакции зрачков на свет
317680025,парез взора вверх
426710025,межъядерная офтальмоплегия 
50940025,сходящееся содружественное косоглазие
426720025,парез жевательных мышц
423340025,гетеролатеральный гемипарез
424280025,гемианестезия контралатеральная
4960025,потливость
179460025,мидриаз
