id_symptoms,name_symptoms
24530025,острая амебная дизентерия
24520025,амебиаз
26660025,стрептококковая инфекция
384630025,бактериальные инфекционные заболевания
30270025,дерматофития гладкой кожи
487680025,клиническая классификация дерматофитий
32230025,онхоцеркоз
32240025,филяриатоз
32380025,аскаридоз
356630025,нематодозы
32420025,стронгилоидоз
35790025,аутоиммунный тиреоидит
446760025,аутоиммунные заболевания щитовидной железы
36830025,эктопический АКТГ-синдром
36790025,болезнь Иценко-Кушинга
53940025,ишемическая кардиомиопатия
53880025,хроническая ишемическая болезнь сердца
172940025,сепсис
19570025,общий патологический процесс
328330025,ангиостронгилидоз
337780025,вухерериоз
362710025,пневмония орнитозная
58160025,"пневмония, вызванная другими инфекционными возбудителями"
369800025,туберкулез легких инфильтративный
403280025,легочный туберкулез
369810025,туберкулез легких кавернозный
369820025,туберкулез легких очаговый
369830025,туберкулез легких фиброзно-кавернозный
369850025,туберкулез легких цирротический
386970025,хеликобактерная инфекция
393900025,афтозный стоматит
368350025,стоматит
396220025,плевропневмония
317330025,пневмония
396700025,узловой зоб
396830025,узловые образования щитовидной железы
396850025,многоузловой зоб
399650025,острый коронарный синдром без подъема сегмента ST
388630025,острый коронарный синдром
399660025,острый коронарный синдром с подъемом сегмента ST
400770025,острое начало болезни
334590025,болезнь
401750025,апостематозный нефрит
76720025,тубулоинтерстициальные болезни почек
401890025,грипп А
401880025,по типу вирусов (возбудителя заболевания)
401900025,грипп А/H1N1
401910025,грипп А/H3N2
401920025,грипп В
401930025,Ямагатская линия гриппа
401940025,Викторианская линия гриппа
401950025,грипп С
402020025,острый ринит гриппозной этиологии
402010025,по локализации поражения (топическим признакам)
402030025,острый фарингит гриппозной этиологии
402040025,острый трахеит гриппозной этиологии
402050025,острый ларингит гриппозной этиологии
402060025,острый бронхит гриппозной этиологии
402400025,болезнь Ормонда (ретроперитонеальный фиброз)
80760025,другие нарушения мочеполовой системы
402410025,рефлюкс-нефропатия
356850025,нефропатия
402560025,2А стадия - бессимптомная
402520025,2 стадия - стадия первичных проявлений
402570025,2Б стадия - острая ВИЧ-инфекция без вторичных заболеваний
402580025,2В стадия - острая ВИЧ-инфекция с вторичными заболеваниями
402590025,4А стадия вторичных изменений
402540025,4 стадия - стадия вторичных изменений
402600025,4Б стадия вторичных изменений
402610025,4В стадия вторичных изменений
402680025,стенокардия напряжения стабильная (с указанием функционального класса)
388010025,стенокардия напряжения
402690025,стенокардия микрососудистая
53570025,стенокардия
403130025,1 стадия - стадия инкубации
402510025,1 стадия
403140025,3 стадия - субклиническая стадия
402530025,3 стадия
403160025,5 стадия - терминальная стадия
402550025,5 стадия
403210025,мононуклеозоподобный синдром
23960025,нераспределенные синдромы
403220025,краснухоподобный синдром
403230025,эзофагит кандидозный
61700025,эзофагит
403240025,"пневмония, вызванная Pneumocystis jirovecii"
58050025,пневмония бактериальная
403290025,внелегочный туберкулез
24780025,туберкулез
403350025,цитомегаловирусный ретинит
29820025,цитомегаловирусная инфекция
403360025,цитомегаловирусный ретинит с потерей зрения
403390025,цитомегаловирусный энтерит
403410025,цитомегаловирусный нефрит
403420025,цитомегаловирусный цистит
403430025,цитомегаловирусный мастит
403440025,цитомегаловирусный сиалоаденит
403450025, цитомегаловирусный миелит
44640025,"энцефалит, миелит и энцефаломиелит при вирусных болезнях, классифицированных в других рубриках"
403460025, цитомегаловирусный энцефалит
