id_diagnosis,name_diagnosis,id_symptoms,name_symptoms
67020025,крапивница,6080025,отек
67020025,крапивница,416000025,ощущение распирания
67020025,крапивница,66490025,зуд
67020025,крапивница,187810025,волдырь
67020025,крапивница,430580025,повышение концентрации мочевой кислоты в крови
336300025,бругиоз,400860025,синдром интоксикации
336300025,бругиоз,499220025,эозинофилия
336300025,бругиоз,57360025,лимфангит
336300025,бругиоз,395770025,аллергические реакции
336300025,бругиоз,181160025,уртикарные высыпания
336300025,бругиоз,320025,озноб
336300025,бругиоз,4960025,потливость
336300025,бругиоз,477400025,слоновость
336300025,бругиоз,399560025,лимфаденопатия
336300025,бругиоз,270025,повышение температуры тела
336300025,бругиоз,494430025,гиперэозинофилия
336300025,бругиоз,318860025,лейкоцитоз
336300025,бругиоз,432100025,снижение концентрации общего белка в крови
336300025,бругиоз,59850025,легочная эозинофилия
336300025,бругиоз,143370025,спленомегалия
336300025,бругиоз,1430025,кашель
336300025,бругиоз,187840025,эритема
336300025,бругиоз,436740025,повышение концентрация общего IgE в крови
336300025,бругиоз,144080025,атрофия мышц
336300025,бругиоз,499580025,лимфедема
172940025,сепсис,427520025,повышение концентрации туморнекротизирующего фактора альфа в крови
172940025,сепсис,427320025,повышение концентрации интерлейкина 6 в крови
172940025,сепсис,427680025,повышение концентрации интерлейкина 1 в крови
172940025,сепсис,428360025,повышение концентрации sЕселектина в крови
172940025,сепсис,428350025,повышение концентрации рецептора фракталкина в крови
172940025,сепсис,428620025,повышение концентрации молекулы адгезии клеток сосудов 1го типа в крови
172940025,сепсис,429380025,повышение концентрации Среактивного белка в крови
172940025,сепсис,427700025,снижение концентрации фибронектина в крови
172940025,сепсис,429670025,повышение концентрации супероксиддисмутаза в крови
172940025,сепсис,430070025,повышение концентрации перекисного окисления липидов в крови
159240025,феохромоцитома,431500025,повышение концентрации хромогранина А в крови
31780025,шистосомоз,429970025,повышение концентрации неоптерина в крови
32340025,анкилостомоз,495180025,задержка физического развития
32340025,анкилостомоз,498420025,задержка умственного развития
32340025,анкилостомоз,306600025,дисменорея
32340025,анкилостомоз,124070025,боль в эпигастральной области
32340025,анкилостомоз,2610025,запор
32340025,анкилостомоз,304940025,снижение абсолютного содержание эритроцитов в крови
32340025,анкилостомоз,466980025,гипохромия эритроцитов
32340025,анкилостомоз,6080025,отек
32340025,анкилостомоз,2370025,диарея
32340025,анкилостомоз,180370025,кровь в стуле
32340025,анкилостомоз,393670025,гипоальбуминемия
32340025,анкилостомоз,395770025,аллергические реакции
32340025,анкилостомоз,430800025,снижение концентрации глутатионпероксидазы восстановленного в крови
32340025,анкилостомоз,2030025,тошнота
32340025,анкилостомоз,2050025,рвота
32340025,анкилостомоз,304570025,гипертермия субфебрильная
32340025,анкилостомоз,180280025,хрипы
32340025,анкилостомоз,181200025,папулезные высыпания
32340025,анкилостомоз,181230025,везикулярные высыпания
32340025,анкилостомоз,181250025,пустулезные высыпания
32340025,анкилостомоз,187840025,эритема
32340025,анкилостомоз,6160025,высыпания
29880025,эпидемический паротит,429970025,повышение концентрации неоптерина в крови
349750025,кокцидиоз,319730025,отсутствие аппетита
