id,master_parent,parent_id,depth,sort,level,nature,code,lib_a,id_a,lib_b,id_b,sex,value_a,value_b,value_c,value_d,ratio,confirmed,count,flag
51188,1867,5474,5,3277,185,False,,,,,,0,,,,,0,0,0,False
1905,6,1904,4,51,185,True,,0,,0,,0,,,,,0,0,0,False
36584,1867,5849,0,3558,185,False,,0,,0,,66,,,,,0,0,0,
51613,1867,33735,0,34,185,False,,0,,0,,66,,,,,0,0,0,
51745,1867,1974,0,4,185,False,,0,,0,,66,,,,,0,0,0,
51860,1867,9018,0,6170,185,False,,0,,0,,66,,,,,0,0,0,
51938,1867,9497,0,6583,185,False,,0,,0,,66,,,,,0,0,0,
51950,1867,3177,0,535,185,False,,0,,0,,66,,,,,0,0,0,
52004,1867,50174,0,6,185,False,,0,,0,,66,,,,,0,0,0,
52008,1867,43647,0,94,185,False,,0,,0,,66,,,,,0,0,0,
52086,1867,30378,0,65,185,False,,0,,0,,66,,,,,0,0,0,
52118,1867,9031,0,6181,185,False,,0,,0,,66,,,,,0,0,0,
52391,1867,9555,0,1728,185,False,,0,,0,,66,,,,,0,0,0,
52429,1867,2756,0,647,185,False,,0,,0,,66,,,,,0,0,0,
52433,1867,15860,0,159,185,False,,0,,0,,66,,,,,0,0,0,
52438,1867,43647,0,98,185,False,,0,,0,,66,,,,,0,0,0,
52477,1867,43647,0,100,185,False,,0,,0,,66,,,,,0,0,0,
52479,1867,8981,0,6144,185,False,,0,,0,,66,,,,,0,0,0,
52480,1867,8979,0,609,185,False,,0,,0,,66,,,,,0,0,0,
52485,1867,36975,0,9,185,False,,0,,0,,66,,,,,0,0,0,
52487,1867,35236,0,1,185,False,,0,,0,,66,,,,,0,0,0,
52504,1867,9030,0,1661,185,False,,0,,0,,66,,,,,0,0,0,
52507,1867,8981,0,6146,185,False,,0,,0,,66,,,,,0,0,0,
52508,1867,30378,0,67,185,False,,0,,0,,66,,,,,0,0,0,
52554,1867,32904,0,1,185,False,,0,,0,,66,,,,,0,0,0,
52556,1867,12845,0,2,185,False,,0,,0,,66,,,,,0,0,0,
52557,1867,9442,0,6546,185,False,,0,,0,,66,,,,,0,0,0,
52559,1867,9069,0,6207,185,False,,0,,0,,66,,,,,0,0,0,
52561,1867,47032,0,5,185,False,,0,,0,,66,,,,,0,0,0,
52566,1867,9524,0,6612,185,False,,0,,0,,66,,,,,0,0,0,
52569,1867,43647,0,102,185,False,,0,,0,,66,,,,,0,0,0,
52570,1867,43647,0,104,185,False,,0,,0,,66,,,,,0,0,0,
52655,1867,9497,0,6585,185,False,,0,,0,,66,,,,,0,0,0,
52691,1867,7530,0,4950,185,False,,0,,0,,66,,,,,0,0,0,
52701,1867,4436,0,301,185,False,,0,,0,,66,,,,,0,0,0,
52735,1867,9497,0,6587,185,False,,0,,0,,66,,,,,0,0,0,
52736,1867,33435,0,73,185,False,,0,,0,,66,,,,,0,0,0,
52770,1867,9555,0,1730,185,False,,0,,0,,66,,,,,0,0,0,
52771,1867,9447,0,1,185,False,,0,,0,,66,,,,,0,0,0,
52774,1867,5878,0,3590,185,False,,0,,0,,66,,,,,0,0,0,
52776,1867,4474,0,934,185,False,,0,,0,,66,,,,,0,0,0,
52777,1867,4474,0,936,185,False,,0,,0,,66,,,,,0,0,0,
52802,1867,43647,0,110,185,False,,0,,0,,66,,,,,0,0,0,
52803,1867,9452,0,6547,185,False,,0,,0,,66,,,,,0,0,0,
52804,1867,45463,0,16,185,False,,0,,0,,66,,,,,0,0,0,
52808,1867,45463,0,18,185,False,,0,,0,,66,,,,,0,0,0,
52809,1867,9030,0,1665,185,False,,0,,0,,66,,,,,0,0,0,
52821,1867,6320,0,1271,185,False,,0,,0,,66,,,,,0,0,0,
52956,1867,9257,0,6377,185,False,,0,,0,,66,,,,,0,0,0,
53065,1867,43647,0,112,185,False,,0,,0,,66,,,,,0,0,0,
53075,1867,9555,0,1732,185,False,,0,,0,,66,,,,,0,0,0,
53142,1867,9555,0,1734,185,False,,0,,0,,66,,,,,0,0,0,
53172,1867,36988,0,1,185,False,,0,,0,,66,,,,,0,0,0,
53317,1867,7543,0,1428,185,False,,0,,0,,66,,,,,0,0,0,
53323,1867,2773,0,671,185,False,,0,,0,,66,,,,,0,0,0,
53346,1867,9442,0,6550,185,False,,0,,0,,66,,,,,0,0,0,
53347,1867,52777,0,939,185,False,,0,,0,,66,,,,,0,0,0,
53354,1867,9555,0,1738,185,False,,0,,0,,66,,,,,0,0,0,
53368,1867,9420,0,1729,185,False,,0,,0,,66,,,,,0,0,0,
53412,1867,9392,0,6494,185,False,,0,,0,,66,,,,,0,0,0,
53413,1867,9420,0,1705,185,False,,0,,0,,66,,,,,0,0,0,
53414,1867,9500,0,1,185,False,,0,,0,,66,,,,,0,0,0,
53415,1867,8076,0,1513,185,False,,0,,0,,66,,,,,0,0,0,
53416,1867,43647,0,114,185,False,,0,,0,,66,,,,,0,0,0,
53432,1867,34274,0,2,185,False,,0,,0,,66,,,,,0,0,0,
