id,master_parent,parent_id,depth,sort,level,nature,code,lib_a,id_a,lib_b,id_b,sex,value_a,value_b,value_c,value_d,ratio,confirmed,count,flag
1656,1867,3339,2,18,183,True,,,,,,0,"0,82",,,"0,5",0,0,0,False
3021,1867,19750,3,9,183,True,DG15,,,,,0,,,,,0,0,0,False
3129,1867,19750,3,10,183,True,DG16,,,,,0,,,,,0,0,0,False
3177,1867,2410,2,107,183,True,DG17,,,,,0,,,,,0,0,0,False
7884,1867,31138,4,2,183,True,DG152,,,,,0,,,,,0,0,0,False
9420,1867,8979,2,598,183,True,DG181,,,,,0,,,,,0,0,0,False
39632,1867,3483,3,598,183,False,,,,,,0,,,,,0,0,0,False
40043,1867,30855,4,37,183,False,,,,,,0,,,,,0,0,0,False
40326,6,1609,3,105,183,False,,,,,,0,,,,,0,0,0,False
40334,1867,3099,5,1205,183,False,,,,,,0,,,,,0,0,0,False
41499,10,17914,3,7,183,False,,,,,,0,,,,,0,0,0,False
41994,1867,30871,2,5,183,False,,,,,,0,,,,,0,0,0,False
42176,1867,6504,3,1276,183,False,,,,,,0,,,,,0,0,0,False
42218,1867,5905,3,1,183,False,,,,,,0,,,,,0,0,0,False
42239,1867,40189,7,3,183,False,,,,,,0,,,,,0,0,0,False
43647,1867,10,2,77,183,False,,,,,,0,,,,,0,0,0,False
43648,1867,32447,1,198,183,False,распространенные заболевания,,,,,0,,,,,0,0,0,False
43651,1867,10,1,75,183,False,,,,,,0,,,,,0,0,0,False
43694,1867,16265,4,1,183,False,,,,,,0,,,,,0,0,0,False
43697,1867,12845,1,0,183,False,,,,,,0,,,,,0,0,0,False
44668,1867,3538,3,10,183,False,,,,,,0,,,,,0,0,0,False
44669,1867,7810,4,1468,183,False,,,,,,0,,,,,0,0,0,False
44721,1867,5848,4,6,183,False,,,,,,0,,,,,0,0,0,False
44722,1867,4834,3,343,183,False,,,,,,0,,,,,0,0,0,False
44755,1867,30660,5,34,183,False,,,,,,0,,,,,0,0,0,False
44758,1867,30660,5,35,183,False,,,,,,0,,,,,0,0,0,False
45978,1867,2411,6,1,183,False,,,,,,0,,,,,0,0,0,False
45983,1867,38512,4,0,183,False,,,,,,0,,,,,0,0,0,False
46304,1867,6532,7,471,183,False,,,,,,0,,,,,0,0,0,False
46497,1867,6761,4,1318,183,False,,,,,,0,,,,,0,0,0,False
46498,1867,6761,4,1319,183,False,,,,,,0,,,,,0,0,0,False
46499,1867,6761,4,1320,183,False,,,,,,0,,,,,0,0,0,False
46522,1867,8192,4,1,183,False,,,,,,0,,,,,0,0,0,False
46764,1867,9081,4,0,183,False,,,,,,0,,,,,0,0,0,False
47146,11,172,6,3,183,False,,,,,,0,,,,,0,0,0,False
47148,1867,1997,6,30,183,False,,,,,,0,,,,,0,0,0,False
48164,1867,3337,4,517,183,False,,,,,,0,,,,,0,0,0,False
48579,1867,5399,5,3195,183,False,,,,,,0,,,,,0,0,0,False
48788,1867,48768,5,10,183,False,,,,,,0,,,,,0,0,0,False
49482,1867,3185,4,1299,183,False,,,,,,0,,,,,0,0,0,False
49488,1867,3185,4,1303,183,False,,,,,,0,,,,,0,0,0,False
49489,1867,3185,4,1301,183,False,,,,,,0,,,,,0,0,0,False
49490,1867,3185,4,1300,183,False,,,,,,0,,,,,0,0,0,False
50670,1867,6504,4,1281,183,False,,,,,,0,,,,,0,0,0,False
50672,1867,6850,4,1381,183,False,,,,,,0,,,,,0,0,0,False
51170,1867,2729,4,602,183,False,,,,,,0,,,,,0,0,0,False
51179,1867,2729,5,603,183,False,,,,,,0,,,,,0,0,0,False
1323,1867,1309,4,927,183,False,R07,0,,0,,0,,,,,0,0,0,False
1790,1867,46702,4,4,183,True,,0,,0,,0,,,,,0,0,0,False
1944,1867,1939,1,19,183,True,,0,,0,,0,,,,,0,0,0,False
2410,1867,10,1,0,183,True,Сlass I,0,,0,,0,,,,,0,0,0,False
2411,1867,38463,4,1,183,True,DG1,0,,0,,0,,,,,0,0,0,False
2415,1867,44635,5,0,183,True,A01,0,,0,,0,,,,,0,0,0,False
2420,1867,44635,5,1,183,True,A02,0,,0,,0,,,,,0,0,0,False
2433,1867,2411,5,21,183,True,A04,0,,0,,0,,,,,0,0,0,False
2444,1867,2411,5,24,183,True,A05,0,,0,,0,,,,,0,0,0,False
2463,1867,3129,5,434,183,True,A07,0,,0,,0,,,,,0,0,0,False
2470,1867,38448,4,7,183,True,A08,0,,0,,0,,,,,0,0,0,False
2505,1867,40329,5,3,183,True,A18,0,,0,,0,,,,,0,0,0,False
2521,1867,38463,4,0,183,True,DG3,0,,0,,0,,,,,0,0,0,False
2552,1867,2521,5,64,183,True,A24,0,,0,,0,,,,,0,0,0,False
2554,1867,35423,6,1,183,True,A24.1,0,,0,,0,,,,,0,0,0,False
2558,1867,2521,5,67,183,True,A25,0,,0,,0,,,,,0,0,0,False
2571,1867,2521,5,77,183,True,A28,0,,0,,0,,,,,0,0,0,False
2587,1867,2577,5,87,183,True,A31,0,,0,,0,,,,,0,0,0,False
2594,1867,4445,6,1,183,True,A32.1,0,,0,,0,,,,,0,0,0,False
2671,1867,19750,3,8,183,True,DG5,0,,0,,0,,,,,0,0,0,False
2712,1867,2771,4,4,183,True,A56,0,,0,,0,,,,,0,0,0,False
2733,1867,38463,4,2,183,True,DG6,0,,0,,0,,,,,0,0,0,False
2752,1867,2733,5,205,183,True,A68,0,,0,,0,,,,,0,0,0,False
2772,1867,38463,4,6,183,True,DG8,0,,0,,0,,,,,0,0,0,False
2792,1867,38728,4,1,183,True,DG9,0,,0,,0,,,,,0,0,0,False
2800,1867,2792,5,235,183,True,A81,0,,0,,0,,,,,0,0,0,False
2825,1867,2792,5,248,183,True,A85,0,,0,,0,,,,,0,0,0,False
2837,1867,2792,5,257,183,True,A88,0,,0,,0,,,,,0,0,0,False
2842,1867,38448,4,4,183,True,DG10,0,,0,,0,,,,,0,0,0,False
2845,1867,2842,5,269,183,True,A92,0,,0,,0,,,,,0,0,0,False
2853,1867,2842,5,272,183,True,A93,0,,0,,0,,,,,0,0,0,False
2869,1867,2842,5,284,183,True,A98,0,,0,,0,,,,,0,0,0,False
2878,1867,38448,4,5,183,True,DG11,0,,0,,0,,,,,0,0,0,False
2879,1867,2878,5,290,183,True,B00,0,,0,,0,"0,82",,,"0,5",0,0,0,False
2918,1867,2878,5,299,183,True,B08,0,,0,,0,,,,,0,0,0,False
2927,1867,38448,4,1,183,True,DG12,0,,0,,0,,,,,0,0,0,False
2936,1867,2927,5,2,183,True,B17,0,,0,,0,,,,,0,0,0,False
2941,1867,2927,5,323,183,True,B18,0,,0,,0,,,,,0,0,0,False
2981,1867,38448,4,10,183,True,DG14,0,,0,,0,,,,,0,0,0,False
3022,1867,3021,4,368,183,True,B35,0,,0,,0,,,,,0,0,0,False
3032,1867,3021,4,371,183,True,B36,0,,0,,0,,,,,0,0,0,False
3042,1867,34726,5,0,183,True,B37.2,0,,0,,0,,,,,0,0,0,False
3086,1867,3021,4,396,183,True,B43,0,,0,,0,,,,,0,0,0,False
3126,1867,3021,5,445,183,True,B48.7,0,,0,,0,,,,,0,0,0,False
3185,1867,3177,3,508,183,True,B66,0,,0,,0,,,,,0,0,0,False
3199,1867,3194,4,1297,183,True,B67.4,0,,0,,0,,,,,0,0,0,False
3202,1867,3194,4,1300,183,True,B67.7,0,,0,,0,,,,,0,0,0,False
3214,1867,50174,3,0,183,True,B70,0,,0,,0,,,,,0,0,0,False
3249,1867,3177,3,533,183,True,B81,0,,0,,0,,,,,0,0,0,False
3259,1867,3177,3,532,183,True,B83,0,,0,,0,,,,,0,0,0,False
3267,1867,2410,2,113,183,True,DG18,0,,0,,0,,,,,0,0,0,False
3268,1867,3267,3,471,183,True,B85,0,,0,,0,,,,,0,0,0,False
3337,1867,19750,3,11,183,True,DG21,0,,0,,0,,,,,0,0,0,False
3339,1867,10,1,17,183,True,Сlass II,0,,0,,0,"0,82",,,"0,5",0,0,0,False
3340,1867,17891,2,3,183,True,Сlass III,0,,0,,0,,,,,0,0,0,False
3341,1867,30378,4,3,183,True,DG40,0,,0,,0,,,,,0,0,0,False
3365,1867,30378,4,4,183,True,DG41,0,,0,,0,,,,,0,0,0,False
3403,1867,30378,4,5,183,True,DG42,0,,0,,0,,,,,0,0,0,False
3409,1867,3403,5,553,183,True,D61,0,,0,,0,,,,,0,0,0,False
3428,1867,39543,4,7,183,True,DG43,0,,0,,0,,,,,0,0,0,False
3450,1867,39543,4,8,183,True,DG44,0,,0,,0,,,,,0,0,0,False
3483,1867,1773,2,377,183,True,DG45,0,,0,,0,,,,,0,0,0,False
3484,1867,3483,3,587,183,True,D80,0,,0,,0,,,,,0,0,0,False
3495,1867,3483,3,589,183,True,D81,0,,0,,0,,,,,0,0,0,False
3506,1867,3483,3,591,183,True,D82,0,,0,,0,,,,,0,0,0,False
3520,1867,3483,3,595,183,True,D84,0,,0,,0,,,,,0,0,0,False
3532,1867,3483,3,600,183,True,D89,0,,0,,0,,,,,0,0,0,False
3538,1867,1942,2,374,183,True,Сlass IV,0,,0,,0,,,,,0,0,0,False
3539,1867,3538,3,3,183,True,DG46,0,,0,,0,,,,,0,0,0,False
3545,1867,3539,4,607,183,True,E01,0,,0,,0,,,,,0,0,0,False
3549,1867,3545,5,1704,183,True,E01.8,0,,0,,0,,,,,0,0,0,False
3551,1867,3539,4,611,183,True,E03,0,,0,,0,,,,,0,0,0,False
3560,1867,3539,4,613,183,True,E04,0,,0,,0,,,,,0,0,0,False
3564,1867,3560,5,1718,183,True,E04.8,0,,0,,0,,,,,0,0,0,False
3606,1867,3600,5,1752,183,True,E11.5,0,,0,,0,,,,,0,0,0,False
3622,1867,3588,4,639,183,True,E13,0,,0,,0,,,,,0,0,0,False
3644,1867,3646,7,1800,183,True,DG48,0,,0,,0,,,,,0,0,0,False
3653,1867,3538,3,208,183,True,DG49,0,,0,,0,,,,,0,0,0,False
3677,1867,3678,4,5,183,True,E23.6,0,,0,,0,,,,,0,0,0,False
3678,1867,44667,3,2,183,True,E23.7,0,,0,,0,,,,,0,0,0,False
3685,1867,3679,5,1820,183,True,E24.8,0,,0,,0,,,,,0,0,0,False
3704,1867,3538,3,9,183,True,E27.9,0,,0,,0,,,,,0,0,0,False
3717,1867,44668,3,1,183,True,E30,0,,0,,0,,,,,0,0,0,False
3725,1867,3722,5,1852,183,True,E31.8,0,,0,,0,,,,,0,0,0,False
3726,1867,3722,5,1853,183,True,E31.9,0,,0,,0,,,,,0,0,0,False
3727,1867,3538,3,5,183,True,E32,0,,0,,0,,,,,0,0,0,False
3745,1867,19762,3,1,183,True,DG50,0,,0,,0,,,,,0,0,0,False
3755,1867,3745,4,680,183,True,DG51,0,,0,,0,,,,,0,0,0,False
3813,1867,19762,3,3,183,True,DG52,0,,0,,0,,,,,0,0,0,False
3957,1867,1946,2,391,183,True,Сlass V,0,,0,,0,,,,,0,0,0,False
3958,1867,3957,3,211,183,True,DG54,0,,0,,0,"0,82",,,"0,5",0,0,0,False
4114,1867,3957,3,221,183,True,DG56,0,,0,,0,,,,,0,0,0,False
4146,1867,3957,3,225,183,True,DG57,0,,0,,0,,,,,0,0,0,False
4189,1867,3957,3,228,183,True,DG58,0,,0,,0,,,,,0,0,0,False
4239,1867,3957,3,233,183,True,DG59,0,,0,,0,,,,,0,0,0,False
4277,1867,3957,3,234,183,True,DG60,0,,0,,0,,,,,0,0,0,False
4329,1867,3957,3,239,183,True,DG61,0,,0,,0,,,,,0,0,0,False
4360,1867,3957,3,244,183,True,DG62,0,,0,,0,,,,,0,0,0,False
4388,1867,3957,3,247,183,True,DG63,0,,0,,0,,,,,0,0,0,False
4436,1867,17894,2,7,183,True,Сlass VI,0,,0,,0,"0,5",,,"0,5",0,0,0,False
4437,1867,4436,3,257,183,True,DG65,0,,0,,0,,,,,0,0,0,False
4474,1867,4436,3,260,183,True,DG66,0,,0,,0,,,,,0,0,0,False
4495,1867,4436,3,262,183,True,DG67,0,,0,,0,,,,,0,0,0,False
4531,1867,4436,3,269,183,True,DG68,0,,0,,0,,,,,0,0,0,False
4546,1867,4436,3,272,183,True,DG69,0,,0,,0,,,,,0,0,0,False
4562,1867,4436,3,273,183,True,DG70,0,,0,,0,,,,,0,0,0,False
4620,1867,4436,3,279,183,True,DG71,0,,0,,0,,,,,0,0,0,False
4691,1867,4436,3,284,183,True,DG72,0,,0,,0,,,,,0,0,0,False
4720,1867,4436,3,286,183,True,DG73,0,,0,,0,,,,,0,0,0,False
4751,1867,4436,3,290,183,True,DG74,0,,0,,0,,,,,0,0,0,False
4779,1867,4436,3,295,183,True,DG75,0,,0,,0,,,,,0,0,0,False
