id,master_parent,parent_id,depth,sort,level,nature,code,lib_a,id_a,lib_b,id_b,sex,value_a,value_b,value_c,value_d,ratio,confirmed,count,flag
5,6,6,1,9,920,True,,0,,0,,0,,,,,0,0,0,False
7,6,6,1,10,920,True,,0,,0,,0,,,,,0,0,0,False
20,6,2396,2,675,920,True,,0,,0,,0,,,,,0,0,0,False
27,11,621,2,536,1102,False,,25,1962,78,5433,0,"0,5",,,"0,5",0,0,0,False
32,7,621,2,392,920,False,анам 155,0,,0,,0,,,,,0,0,0,False
33,7,621,2,499,920,False,,0,,0,,0,,,,,0,0,0,False
34,7,32050,2,2,1102,False,,25,32050,16,504,0,,,,,0,0,0,False
35,1867,982,2,25,920,True,,0,,0,,0,,,,,0,0,0,False
37,7,621,2,504,920,False,,0,,0,,0,,,,,0,0,0,False
38,7,613,5,4,920,False,,0,,0,,0,,,,,0,0,0,False
39,1867,35,5,3,920,False,,0,,0,,0,,,,,0,0,0,False
42,7,621,2,491,1102,False,,0,,0,,0,,,,,0,0,0,False
50,,15630,3,0,1102,False,,25,1912,16,2,0,,,,,0,0,0,False
51,6,36042,3,3,1102,False,,25,1912,1,589,0,,,,,0,0,0,False
52,6,211,3,1,920,False,,0,,0,,0,,,,,0,0,0,False
53,6,211,3,1,920,False,,0,,0,,0,,,,,0,0,0,False
70,7,621,2,449,920,False,R55,0,,0,,0,,,,,0,0,0,False
133,7,131,4,396,920,False,,0,,0,,0,,,,,0,0,0,False
139,7,621,2,471,920,False,,0,,0,,0,,,,,0,0,0,False
140,7,621,2,493,920,False,,0,,0,,0,,,,,0,0,0,False
141,7,45397,3,1,1102,False,,25,45397,20,1,0,,,,,0,0,0,False
142,1867,44721,2,1,1102,False,,25,1609,20,829,0,,,,,0,0,0,False
143,7,621,2,295,920,False,,0,,0,,0,,,,,0,0,0,False
170,1867,621,3,394,920,False,,0,,0,,0,,,,,0,0,0,False
171,1867,621,4,469,920,False,,0,,0,,0,,,,,0,0,0,False
173,1867,14275,9,16,920,False,,0,,0,,0,,,,,0,0,0,False
193,1867,172,6,203,920,False,,0,,0,,0,,,,,0,0,0,False
203,1867,621,3,256,920,False,,0,,0,,0,,,,,0,0,0,False
205,1867,621,3,257,920,False,,0,,0,,0,"0,82",,,"0,5",0,0,0,False
211,6,1957,2,38,920,False,,0,,0,,0,,,,,0,0,0,False
