id,master_parent,parent_id,depth,sort,level,nature,code,lib_a,id_a,lib_b,id_b,sex,value_a,value_b,value_c,value_d,ratio,confirmed,count,flag
38597,6,2166,3,87,919,False,,,,,,0,,,,,0,0,0,False
38682,6,2145,2,43,919,False,,,,,,0,,,,,0,0,0,False
38683,6,2145,2,44,919,False,,,,,,0,,,,,0,0,0,False
39460,6,49283,4,3,919,False,,,,,,0,,,,,0,0,0,False
40037,6,2367,2,654,919,False,,,,,,0,,,,,0,0,0,False
40038,6,2408,2,8,919,False,,,,,,0,,,,,0,0,0,False
40428,6,2346,2,621,919,False,,,,,,0,,,,,0,0,0,False
40690,1867,2179,3,591,919,False,,,,,,0,,,,,0,0,0,False
40853,6,46902,5,0,919,False,,,,,,0,,,,,0,0,0,False
41172,6,2298,3,532,919,False,,,,,,0,,,,,0,0,0,False
41427,6,2408,1,12,919,False,,,,,,0,,,,,0,0,0,False
42398,1867,2179,2,439,919,False,,,,,,0,,,,,0,0,0,False
42954,6,2394,1,1,919,False,,,,,,0,,,,,0,0,0,False
43050,6,2409,1,8,919,False,,,,,,0,,,,,0,0,0,False
43401,1867,2179,2,590,919,False,,,,,,0,,,,,0,0,0,False
43497,6,42235,4,1,919,False,,,,,,0,,,,,0,0,0,False
43650,6,19744,2,2,919,False,,,,,,0,,,,,0,0,0,False
43666,1867,2179,2,592,919,False,,,,,,0,,,,,0,0,0,False
43780,1867,2179,0,482,919,False,,,,,,0,,,,,0,0,0,False
45315,1867,19351,5,4,919,False,,,,,,0,,,,,0,0,0,False
45316,1867,19351,5,5,919,False,,,,,,0,,,,,0,0,0,False
45317,1867,19351,5,6,919,False,,,,,,0,,,,,0,0,0,False
45318,1867,19351,5,7,919,False,,,,,,0,,,,,0,0,0,False
45319,1867,19352,5,0,919,False,,,,,,0,,,,,0,0,0,False
45320,1867,19352,5,1,919,False,,,,,,0,,,,,0,0,0,False
45321,1867,19354,5,0,919,False,,,,,,0,,,,,0,0,0,False
45323,1867,19352,5,2,919,False,,,,,,0,,,,,0,0,0,False
45330,1867,36700,3,5,919,False,,,,,,0,,,,,0,0,0,False
45332,1867,36704,1,3,919,False,,,,,,0,,,,,0,0,0,False
45333,1867,36704,1,4,919,False,,,,,,0,,,,,0,0,0,False
